,code,abbreviation,name,type,name_en
2107,002719,RTZXSGYDKZ,融通增祥三个月定开债,定开债券,RONGTONGZENGXIANGSANGEYUEDINGKAIZHAI
2108,002720,GSABZLZQHBZQA,国寿安保尊利增强回报债券A,债券型,GUOSHOUANBAOZUNLIZENGQIANGHUIBAOZHAIQUANA
2109,002721,GSABZLZQHBZQC,国寿安保尊利增强回报债券C,债券型,GUOSHOUANBAOZUNLIZENGQIANGHUIBAOZHAIQUANC
2110,002722,GYCFHBB,工银财富货币B,货币型,GONGYINCAIFUHUOBIB
2111,002723,JXQFA,江信祺福A,债券型,JIANGXINQIFUA
2112,002724,JXQFC,江信祺福C,债券型,JIANGXINQIFUC
2113,002725,ZOQRDCLZQ,中欧强瑞多策略债券,定开债券,ZHONGOUQIANGRUIDUOCELUEZHAIQUAN
2114,002728,HFYXLHPZHHA,华富益鑫灵活配置混合A,混合型,HUAFUYIXINLINGHUOPEIZHIHUNHEA
2115,002729,HFYXLHPZHHC,华富益鑫灵活配置混合C,混合型,HUAFUYIXINLINGHUOPEIZHIHUNHEC
2116,002730,HFHXLHPZHHA,华富华鑫灵活配置混合A,混合型,HUAFUHUAXINLINGHUOPEIZHIHUNHEA
2117,002731,HFHXLHPZHHC,华富华鑫灵活配置混合C,混合型,HUAFUHUAXINLINGHUOPEIZHIHUNHEC
2118,002732,CSHGSHH,长盛沪港深混合,混合型,CHANGSHENGHUGANGSHENHUNHE
2119,002733,SYHYLHB,上银慧盈利货币,货币型,SHANGYINHUIYINGLIHUOBI
2120,002734,HDYRCZZQA,泓德裕荣纯债债券A,债券型,HONGDEYURONGCHUNZHAIZHAIQUANA
2121,002735,HDYRCZZQC,泓德裕荣纯债债券C,债券型,HONGDEYURONGCHUNZHAIZHAIQUANC
2122,002736,HDYHCZZQA,泓德裕和纯债债券A,债券型,HONGDEYUHECHUNZHAIZHAIQUANA
2123,002737,HDYHCZZQC,泓德裕和纯债债券C,债券型,HONGDEYUHECHUNZHAIZHAIQUANC
2124,002738,HDYKZQA,泓德裕康债券A,债券型,HONGDEYUKANGZHAIQUANA
2125,002739,HDYKZQC,泓德裕康债券C,债券型,HONGDEYUKANGZHAIQUANC
2126,002740,HDYZYNDKZQA,泓德裕泽一年定开债券A,定开债券,HONGDEYUZEYINIANDINGKAIZHAIQUANA
2127,002741,HDYZYNDKZQC,泓德裕泽一年定开债券C,定开债券,HONGDEYUZEYINIANDINGKAIZHAIQUANC
2128,002742,HDYXZQA,泓德裕祥债券A,债券型,HONGDEYUXIANGZHAIQUANA
2129,002743,HDYXZQC,泓德裕祥债券C,债券型,HONGDEYUXIANGZHAIQUANC
2130,002745,BXRFFLHH,北信瑞丰丰利混合,混合型,BEIXINRUIFENGFENGLIHUNHE
2131,002746,HTFDCLDKHH,汇添富多策略定开混合,混合型,HUITIANFUDUOCELUEDINGKAIHUNHE
2132,002747,ZOHBC,中欧货币C,货币型,ZHONGOUHUOBIC
2133,002748,ZOHBD,中欧货币D,货币型,ZHONGOUHUOBID
2134,002749,JSWSZQ,嘉实稳盛债券,债券型,JIASHIWENSHENGZHAIQUAN
2135,002750,GYTXSNLCZQ,工银泰享三年理财债券,定开债券,GONGYINTAIXIANGSANNIANLICAIZHAIQUAN
2136,002753,JXJXBHBB,建信嘉薪宝货币B,货币型,JIANXINJIAXINBAOHUOBIB
2137,002754,BSYCCZ,博时裕创纯债,债券型,BOSHIYUCHUANGCHUNZHAI
2138,002755,BSYSCZZQ,博时裕盛纯债债券,债券型,BOSHIYUSHENGCHUNZHAIZHAIQUAN
2139,002756,ZSZX3GYDKA,招商招兴3个月定开A,定开债券,ZHAOSHANGZHAOXING3GEYUEDINGKAIA
2140,002757,ZSZX3GYDKC,招商招兴3个月定开C,定开债券,ZHAOSHANGZHAOXING3GEYUEDINGKAIC
2141,002758,JXXJZLHB,建信现金增利货币,货币型,JIANXINXIANJINZENGLIHUOBI
2142,002759,DXAYBA,东兴安盈宝A,货币型,DONGXINGANYINGBAOA
2143,002760,DXAYBB,东兴安盈宝B,货币型,DONGXINGANYINGBAOB
2144,002765,XHSLZQA,新华双利债券A,债券型,XINHUASHUANGLIZHAIQUANA
2145,002766,XHSLZQC,新华双利债券C,债券型,XINHUASHUANGLIZHAIQUANC
2146,002767,TKHTHBHH,泰康宏泰回报混合,混合型,TAIKANGHONGTAIHUIBAOHUNHE
2147,002768,HAAJLHPZHH,华安安进灵活配置混合,混合型,HUAANANJINLINGHUOPEIZHIHUNHE
2148,002769,XYDZZQC,兴业短债债券C,债券型,XINGYEDUANZHAIZHAIQUANC
2149,002770,AXXHBHHA,安信新回报混合A,混合型,ANXINXINHUIBAOHUNHEA
2150,002771,AXXHBHHC,安信新回报混合C,混合型,ANXINXINHUIBAOHUNHEC
2151,002772,GDCYXDLHH,光大产业新动力混合,混合型,GUANGDACHANYEXINDONGLIHUNHE
2152,002773,GDMXHHA,光大铭鑫混合A,混合型,GUANGDAMINGXINHUNHEA
2153,002774,GDMXHHC,光大铭鑫混合C,混合型,GUANGDAMINGXINHUNHEC
2154,002775,BSJXCZZQ,博时景兴纯债债券,债券型,BOSHIJINGXINGCHUNZHAIZHAIQUAN
2155,002776,ZSARHHA,招商安荣混合A,混合型,ZHAOSHANGANRONGHUNHEA
2156,002777,ZSARHHC,招商安荣混合C,混合型,ZHAOSHANGANRONGHUNHEC
2157,002778,XJQHLHXSLHHA,新疆前海联合新思路混合A,混合型,XINJIANGQIANHAILIANHEXINSILUHUNHEA
2158,002779,XJQHLHXSLHHC,新疆前海联合新思路混合C,混合型,XINJIANGQIANHAILIANHEXINSILUHUNHEC
2159,002780,QHLHHXHHA,前海联合泓鑫混合A,混合型,QIANHAILIANHEHONGXINHUNHEA
2160,002781,BSJR6GYDKZ,博时聚瑞6个月定开债,定开债券,BOSHIJURUI6GEYUEDINGKAIZHAI
2161,002782,FGXLDKZFQS,富国祥利定开债发起式,定开债券,FUGUOXIANGLIDINGKAIZHAIFAQISHI
2162,002783,DFHJZJXHHA,东方红价值精选混合A,混合型,DONGFANGHONGJIAZHIJINGXUANHUNHEA
2163,002784,DFHJZJXHHC,东方红价值精选混合C,混合型,DONGFANGHONGJIAZHIJINGXUANHUNHEC
2164,002785,ZRRYSLZQA,中融融裕双利债券A,债券型,ZHONGRONGRONGYUSHUANGLIZHAIQUANA
2165,002786,ZRRYSLZQC,中融融裕双利债券C,债券型,ZHONGRONGRONGYUSHUANGLIZHAIQUANC
2166,002788,RTXJBHBA,融通现金宝货币A,货币型,RONGTONGXIANJINBAOHUOBIA
2167,002789,CSTXLHPZA,长盛同享灵活配置A,混合型,CHANGSHENGTONGXIANGLINGHUOPEIZHIA
2168,002790,CSTXLHPZC,长盛同享灵活配置C,混合型,CHANGSHENGTONGXIANGLINGHUOPEIZHIC
2169,002792,JSCCSYHBHHA,景顺长城顺益回报混合A,混合型,JINGSHUNCHANGCHENGSHUNYIHUIBAOHUNHEA
2170,002793,JSCCSYHBHHC,景顺长城顺益回报混合C,混合型,JINGSHUNCHANGCHENGSHUNYIHUIBAOHUNHEC
2171,002794,THYLZQE,天弘永利债券E,债券型,TIANHONGYONGLIZHAIQUANE
2172,002795,PAHYCZA,平安惠盈纯债A,债券型,PINGANHUIYINGCHUNZHAIA
2173,002796,JSCCJYSLZQA,景顺长城景盈双利债券A,债券型,JINGSHUNCHANGCHENGJINGYINGSHUANGLIZHAIQUANA
2174,002797,JSCCJYSLZQC,景顺长城景盈双利债券C,债券型,JINGSHUNCHANGCHENGJINGYINGSHUANGLIZHAIQUANC
2175,002801,HDHXHH,泓德泓信混合,混合型,HONGDEHONGXINHUNHE
2176,002802,GFDCDSJHH,广发东财大数据混合,混合型,GUANGFADONGCAIDASHUJUHUNHE
2177,002803,DFHHGSHH,东方红沪港深混合,混合型,DONGFANGHONGHUGANGSHENHUNHE
2178,002804,HTBRLHDC,华泰柏瑞量化对冲,混合型,HUATAIBAIRUILIANGHUADUICHONG
2179,002805,ZSHJJLYNDKZA,浙商汇金聚利一年定开债A,定开债券,ZHESHANGHUIJINJULIYINIANDINGKAIZHAIA
2180,002806,ZSHJJLYNDKZC,浙商汇金聚利一年定开债C,定开债券,ZHESHANGHUIJINJULIYINIANDINGKAIZHAIC
2181,002807,RTTAZQ,融通通安债券,债券型,RONGTONGTONGANZHAIQUAN
2182,002808,HDYSLHHH,泓德优势领航混合,混合型,HONGDEYOUSHILINGHANGHUNHE
2183,002810,JXZXCXCZHHFQS,金信转型创新成长混合发起式,混合型,JINXINZHUANXINGCHUANGXINCHENGZHANGHUNHEFAQISHI
2184,002811,BSYSCZZQ,博时裕顺纯债债券,债券型,BOSHIYUSHUNCHUNZHAIZHAIQUAN
2185,002812,BSYTDKZC,博时裕通定开债C,定开债券,BOSHIYUTONGDINGKAIZHAIC
2186,002813,BSYTHHA,博时颐泰混合A,混合型,BOSHIYITAIHUNHEA
2187,002814,BSYTHHC,博时颐泰混合C,混合型,BOSHIYITAIHUNHEC
2188,002817,ZSZHCZA,招商招恒纯债A,债券型,ZHAOSHANGZHAOHENGCHUNZHAIA
2189,002818,ZSZHCZC,招商招恒纯债C,债券型,ZHAOSHANGZHAOHENGCHUNZHAIC
2190,002819,ZSFMHHA,招商丰美混合A,混合型,ZHAOSHANGFENGMEIHUNHEA
2191,002820,ZSFMHHC,招商丰美混合C,混合型,ZHAOSHANGFENGMEIHUNHEC
2192,002823,ZSSDHHA,招商盛达混合A,混合型,ZHAOSHANGSHENGDAHUNHEA
2193,002824,ZSSDHHC,招商盛达混合C,混合型,ZHAOSHANGSHENGDAHUNHEC
2194,002825,RTTHZQ,融通通和债券,债券型,RONGTONGTONGHEZHAIQUAN
2195,002826,ZYYLBNDKZ,中银永利半年定开债,定开债券,ZHONGYINYONGLIBANNIANDINGKAIZHAI
2196,002828,NFXJZLHBE,南方现金增利货币E,货币型,NANFANGXIANJINZENGLIHUOBIE
2197,002829,NFXJZLHBF,南方现金增利货币F,货币型,NANFANGXIANJINZENGLIHUOBIF
2198,002830,ZSHFDKZ,浙商惠丰定开债,定开债券,ZHESHANGHUIFENGDINGKAIZHAI
2199,002832,GYHXCZZQ,工银恒享纯债债券,债券型,GONGYINHENGXIANGCHUNZHAIZHAIQUAN
2200,002833,HXXJXHHA,华夏新锦绣混合A,混合型,HUAXIAXINJINXIUHUNHEA
2201,002834,HXXJXHHC,华夏新锦绣混合C,混合型,HUAXIAXINJINXIUHUNHEC
2202,002837,HXWGJXHHA,华夏网购精选混合A,混合型,HUAXIAWANGGOUJINGXUANHUNHEA
2203,002838,HXXJCHHA,华夏新锦程混合A,混合型,HUAXIAXINJINCHENGHUNHEA
2204,002839,HXXJCHHC,华夏新锦程混合C,混合型,HUAXIAXINJINCHENGHUNHEC
2205,002844,JYDYCLHH,金鹰多元策略混合,混合型,JINYINGDUOYUANCELUEHUNHE
2206,002845,STMGAXHBC,上投摩根安鑫回报C,混合型,SHANGTOUMOGENANXINHUIBAOC
2207,002846,HDHHHH,泓德泓华混合,混合型,HONGDEHONGHUAHUNHE
2208,002847,THXJGJHBE,天弘现金管家货币E,货币型,TIANHONGXIANJINGUANJIAHUOBIE
2209,002849,JXZNZG2025HH,金信智能中国2025混合,混合型,JINXINZHINENGZHONGGUO2025HUNHE
2210,002850,NFZZHH,南方甑智混合,混合型,NANFANGZENGZHIHUNHE
2211,002851,NFPZHH,南方品质混合,混合型,NANFANGPINZHIHUNHE
2212,002852,ZSCFBJYXHBA,招商财富宝交易型货币A,货币型,ZHAOSHANGCAIFUBAOJIAOYIXINGHUOBIA
2213,002855,BSXJBHBC,博时现金宝货币C,货币型,BOSHIXIANJINBAOHUOBIC
2214,002858,CXFPCZYNDKZA,长信富平纯债一年定开债A,定开债券,CHANGXINFUPINGCHUNZHAIYINIANDINGKAIZHAIA
2215,002859,CXFPCZYNDKZC,长信富平纯债一年定开债C,定开债券,CHANGXINFUPINGCHUNZHAIYINIANDINGKAIZHAIC
2216,002860,QHKYHGSXJYHH,前海开源沪港深新机遇混合,混合型,QIANHAIKAIYUANHUGANGSHENXINJIYUHUNHE
2217,002861,GYZNZZGP,工银智能制造股票,股票型,GONGYINZHINENGZHIZAOGUPIAO
2218,002862,JXLHJXHH,金信量化精选混合,混合型,JINXINLIANGHUAJINGXUANHUNHE
2219,002863,JXSZCZHHFQS,金信深圳成长混合发起式,混合型,JINXINSHENZHENCHENGZHANGHUNHEFAQISHI
2220,002864,GFAZDZZQA,广发安泽短债债券A,债券型,GUANGFAANZEDUANZHAIZHAIQUANA
2221,002865,GFAZDZZQC,广发安泽短债债券C,债券型,GUANGFAANZEDUANZHAIZHAIQUANC
2222,002866,XHFYHBZQ,新华丰盈回报债券,债券型,XINHUAFENGYINGHUIBAOZHAIQUAN
2223,002868,PHFMZQ,鹏华丰茂债券,债券型,PENGHUAFENGMAOZHAIQUAN
2224,002869,RTTYDKZ,融通通裕定开债,定开债券,RONGTONGTONGYUDINGKAIZHAI
2225,002870,XYZYWNDKZ,兴业增益五年定开债,定开债券,XINGYEZENGYIWUNIANDINGKAIZHAI
2226,002871,HXZSJZCZA,华夏智胜价值成长A,股票型,HUAXIAZHISHENGJIAZHICHENGZHANGA
2227,002872,HXZSJZCZC,华夏智胜价值成长C,股票型,HUAXIAZHISHENGJIAZHICHENGZHANGC
2228,002877,HXDZHXYZA,华夏大中华信用债A,QDII,HUAXIADAZHONGHUAXINYONGZHAIA
2229,002878,HXDZHXYZMYXHA,华夏大中华信用债美元现汇A,QDII,HUAXIADAZHONGHUAXINYONGZHAIMEIYUANXIANHUIA
2230,002879,HXDZHXYZMYXCA,华夏大中华信用债美元现钞A,QDII,HUAXIADAZHONGHUAXINYONGZHAIMEIYUANXIANCHAOA
2231,002880,HXDZHXYZC,华夏大中华信用债C,QDII,HUAXIADAZHONGHUAXINYONGZHAIC
2232,002881,ZJFRCZZQA,中加丰润纯债债券A,债券型,ZHONGJIAFENGRUNCHUNZHAIZHAIQUANA
2233,002882,ZJFRCZZQC,中加丰润纯债债券C,债券型,ZHONGJIAFENGRUNCHUNZHAIZHAIQUANC
2234,002883,HRYDXJTHBA,华润元大现金通货币A,货币型,HUARUNYUANDAXIANJINTONGHUOBIA
2235,002884,HRYDXJTHBB,华润元大现金通货币B,货币型,HUARUNYUANDAXIANJINTONGHUOBIB
2236,002885,DMWZCXLHPZHH,大摩万众创新灵活配置混合,混合型,DAMOWANZHONGCHUANGXINLINGHUOPEIZHIHUNHE
2237,002889,JYTLBHBA,交银天利宝货币A,货币型,JIAOYINTIANLIBAOHUOBIA
2238,002890,JYTLBHBE,交银天利宝货币E,货币型,JIAOYINTIANLIBAOHUOBIE
2239,002891,HXYDHLHHRMB,华夏移动互联混合人民币,QDII,HUAXIAYIDONGHULIANHUNHERENMINBI
2240,002892,HXYDHLHHMYXH,华夏移动互联混合美元现汇,QDII,HUAXIAYIDONGHULIANHUNHEMEIYUANXIANHUI
2241,002893,HXYDHLHHMYXC,华夏移动互联混合美元现钞,QDII,HUAXIAYIDONGHULIANHUNHEMEIYUANXIANCHAO
2242,002894,HXTLHBA,华夏天利货币A,货币型,HUAXIATIANLIHUOBIA
2243,002895,HXTLHBB,华夏天利货币B,货币型,HUAXIATIANLIHUOBIB
2244,002898,FGLNQLCZQA,富国两年期理财债券A,定开债券,FUGUOLIANGNIANQILICAIZHAIQUANA
2245,002899,FGLNQLCZQC,富国两年期理财债券C,定开债券,FUGUOLIANGNIANQILICAIZHAIQUANC
2246,002900,NFZZ500XXJSLJA,南方中证500信息技术联接A,联接基金,NANFANGZHONGZHENG500XINXIJISHULIANJIEA
2247,002901,CTZGJJSYZQA,财通资管积极收益债券A,债券型,CAITONGZIGUANJIJISHOUYIZHAIQUANA
2248,002902,CTZGJJSYZQC,财通资管积极收益债券C,债券型,CAITONGZIGUANJIJISHOUYIZHAIQUANC
2249,002903,GFZZ500ETFLJC,广发中证500ETF联接C,联接基金,GUANGFAZHONGZHENG500ETFLIANJIEC
2250,002904,BSARYNDKFQSZQA,博时安仁一年定开发起式债券A,定开债券,BOSHIANRENYINIANDINGKAIFAQISHIZHAIQUANA
2251,002905,BSARYNDKFQSZQC,博时安仁一年定开发起式债券C,定开债券,BOSHIANRENYINIANDINGKAIFAQISHIZHAIQUANC
2252,002906,NFZZ500LHZQA,南方中证500量化增强A,股票指数,NANFANGZHONGZHENG500LIANGHUAZENGQIANGA
2253,002907,NFZZ500LHZQC,南方中证500量化增强C,股票指数,NANFANGZHONGZHENG500LIANGHUAZENGQIANGC
2254,002908,FGRLDKHHFQS,富国睿利定开混合发起式,混合型,FUGUORUILIDINGKAIHUNHEFAQISHI
2255,002909,ZSHXCZ,浙商惠享纯债,债券型,ZHESHANGHUIXIANGCHUNZHAI
2256,002910,YFDGGGGHH,易方达供给改革混合,混合型,YIFANGDAGONGGEIGAIGEHUNHE
2257,002912,XYWTYHBA,兴业稳天盈货币A,货币型,XINGYEWENTIANYINGHUOBIA
2258,002915,XYYLZQ,鑫元裕利债券,债券型,XINYUANYULIZHAIQUAN
2259,002917,JSHQBHBE,嘉实活钱包货币E,货币型,JIASHIHUOQIANBAOHUOBIE
2260,002918,JYXJBHBE,交银现金宝货币E,货币型,JIAOYINXIANJINBAOHUOBIE
2261,002919,DWZHYLLHCLHH,东吴智慧医疗量化策略混合,混合型,DONGWUZHIHUIYILIAOLIANGHUACELUEHUNHE
2262,002920,ZODZZQA,中欧短债债券A,债券型,ZHONGOUDUANZHAIZHAIQUANA
2263,002923,XYJHLHPZHHC,兴业聚惠灵活配置混合C,混合型,XINGYEJUHUILINGHUOPEIZHIHUNHEC
2264,002924,HSRXDKZ,华商瑞鑫定开债,定开债券,HUASHANGRUIXINDINGKAIZHAI
2265,002925,GFJYZQA,广发集源债券A,债券型,GUANGFAJIYUANZHAIQUANA
2266,002926,GFJYZQC,广发集源债券C,债券型,GUANGFAJIYUANZHAIQUANC
2267,002927,CSSHCZA,长盛盛和纯债A,债券型,CHANGSHENGSHENGHECHUNZHAIA
2268,002928,CSSHCZC,长盛盛和纯债C,债券型,CHANGSHENGSHENGHECHUNZHAIC
2269,002929,BSJYCZZQ,博时聚盈纯债债券,债券型,BOSHIJUYINGCHUNZHAIZHAIQUAN
2270,002930,BSJRCZZQ,博时聚润纯债债券,债券型,BOSHIJURUNCHUNZHAIZHAIQUAN
2271,002932,YXYFQHSYA,圆信永丰强化收益A,债券型,YUANXINYONGFENGQIANGHUASHOUYIA
2272,002933,YXYFQHSYC,圆信永丰强化收益C,债券型,YUANXINYONGFENGQIANGHUASHOUYIC
2273,002934,TKHTHBHHA,泰康恒泰回报混合A,混合型,TAIKANGHENGTAIHUIBAOHUNHEA
2274,002935,TKHTHBHHC,泰康恒泰回报混合C,混合型,TAIKANGHENGTAIHUIBAOHUNHEC
2275,002936,HXWLHBA,华夏沃利货币A,货币型,HUAXIAWOLIHUOBIA
2276,002937,HXWLHBB,华夏沃利货币B,货币型,HUAXIAWOLIHUOBIB
2277,002938,ZYZQJKCYHH,中银证券健康产业混合,混合型,ZHONGYINZHENGQUANJIANKANGCHANYEHUNHE
2278,002939,GFCXSJHH,广发创新升级混合,混合型,GUANGFACHUANGXINSHENGJIHUNHE
2279,002943,GFDYZHH,广发多因子混合,混合型,GUANGFADUOYINZIHUNHE
2280,002945,DCSSJXLHPZHH,大成盛世精选灵活配置混合,混合型,DACHENGSHENGSHIJINGXUANLINGHUOPEIZHIHUNHE
2281,002946,DCJSYNDKZA,大成景盛一年定开债A,定开债券,DACHENGJINGSHENGYINIANDINGKAIZHAIA
2282,002947,DCJSYNDKZC,大成景盛一年定开债C,定开债券,DACHENGJINGSHENGYINIANDINGKAIZHAIC
2283,002948,HAJL18GYDKZA,华安聚利18个月定开债A,定开债券,HUAANJULI18GEYUEDINGKAIZHAIA
2284,002949,HAJL18GYDKZC,华安聚利18个月定开债C,定开债券,HUAANJULI18GEYUEDINGKAIZHAIC
2285,002952,JXDYZLHGP,建信多因子量化股票,股票型,JIANXINDUOYINZILIANGHUAGUPIAO
2286,002953,HAAFBBHHA,华安安福保本混合A,保本型,HUAANANFUBAOBENHUNHEA
2287,002954,HAAFBBHHC,华安安福保本混合C,保本型,HUAANANFUBAOBENHUNHEC
2288,002955,RTXQSLHPZHH,融通新趋势灵活配置混合,混合型,RONGTONGXINQUSHILINGHUOPEIZHIHUNHE
2289,002956,RTXQSLHPZHH,融通新趋势灵活配置混合(后端),混合型,RONGTONGXINQUSHILINGHUOPEIZHIHUNHE
2290,002957,CTCTBHBA,财通财通宝货币A,货币型,CAITONGCAITONGBAOHUOBIA
2291,002958,CTCTBHBB,财通财通宝货币B,货币型,CAITONGCAITONGBAOHUOBIB
2292,002959,HTFYTHH,汇添富盈泰混合,混合型,HUITIANFUYINGTAIHUNHE
2293,002960,BSHLHBB,博时合利货币B,货币型,BOSHIHELIHUOBIB
2294,002961,ZOSLZQA,中欧双利债券A,债券型,ZHONGOUSHUANGLIZHAIQUANA
2295,002962,ZOSLZQC,中欧双利债券C,债券型,ZHONGOUSHUANGLIZHAIQUANC
2296,002963,YFDHJETFLJC,易方达黄金ETF联接C,联接基金,YIFANGDAHUANGJINETFLIANJIEC
2297,002964,GTRYSXDK,国投瑞银顺鑫定开,定开债券,GUOTOURUIYINSHUNXINDINGKAI
2298,002965,ZHHJZQSYZQA,中海合嘉增强收益债券A,债券型,ZHONGHAIHEJIAZENGQIANGSHOUYIZHAIQUANA
2299,002966,ZHHJZQSYZQC,中海合嘉增强收益债券C,债券型,ZHONGHAIHEJIAZENGQIANGSHOUYIZHAIQUANC
2300,002967,ZSDSJZXXFHH,浙商大数据智选消费混合,混合型,ZHESHANGDASHUJUZHIXUANXIAOFEIHUNHE
2301,002969,YFDFHZQ,易方达丰和债券,债券型,YIFANGDAFENGHEZHAIQUAN
2302,002970,BSYACZZQ,博时裕昂纯债债券,债券型,BOSHIYUANGCHUNZHAIZHAIQUAN
2303,002971,QHKYDAZQA,前海开源鼎安债券A,债券型,QIANHAIKAIYUANDINGANZHAIQUANA
2304,002972,QHKYDAZQC,前海开源鼎安债券C,债券型,QIANHAIKAIYUANDINGANZHAIQUANC
2305,002974,GFXXJSLJC,广发信息技术联接C,联接基金,GUANGFAXINXIJISHULIANJIEC
2306,002977,GFZZQZKXXFLJC,广发中证全指可选消费联接C,联接基金,GUANGFAZHONGZHENGQUANZHIKEXUANXIAOFEILIANJIEC
2307,002978,GFYYWSLJC,广发医药卫生联接C,联接基金,GUANGFAYIYAOWEISHENGLIANJIEC
2308,002979,GFZZQZJRDCLJC,广发中证全指金融地产联接C,联接基金,GUANGFAZHONGZHENGQUANZHIJINRONGDICHANLIANJIEC
2309,002980,HXCXQYGP,华夏创新前沿股票,股票型,HUAXIACHUANGXINQIANYANGUPIAO
2310,002982,GFYLZSC,广发养老指数C,股票指数,GUANGFAYANGLAOZHISHUC
2311,002983,CXGFJGLHHHA,长信国防军工量化混合A,混合型,CHANGXINGUOFANGJUNGONGLIANGHUAHUNHEA
2312,002984,GFZZHBETFLJC,广发中证环保ETF联接C,联接基金,GUANGFAZHONGZHENGHUANBAOETFLIANJIEC
2313,002985,ZYJJHDKZ,中银季季红定开债,定开债券,ZHONGYINJIJIHONGDINGKAIZHAI
2314,002986,TKFYZQ,泰康丰盈债券,债券型,TAIKANGFENGYINGZHAIQUAN
2315,002987,GFHS300ETFLJC,广发沪深300ETF联接C,联接基金,GUANGFAHUSHEN300ETFLIANJIEC
2316,002988,PADXZQ,平安鼎信债券,债券型,PINGANDINGXINZHAIQUAN
2317,002989,RTTQYJJXHH,融通通乾研究精选混合,混合型,RONGTONGTONGQIANYANJIUJINGXUANHUNHE
2318,002991,JSWXCZZQ,嘉实稳鑫纯债债券,债券型,JIASHIWENXINCHUNZHAIZHAIQUAN
2319,002994,ZSZYCZA,招商招裕纯债A,债券型,ZHAOSHANGZHAOYUCHUNZHAIA
2320,002995,ZSZYCZC,招商招裕纯债C,债券型,ZHAOSHANGZHAOYUCHUNZHAIC
2321,002996,CXWJCZZQA,长信稳健纯债债券A,债券型,CHANGXINWENJIANCHUNZHAIZHAIQUANA
2322,002997,GYRXCZZQ,工银瑞享纯债债券,债券型,GONGYINRUIXIANGCHUNZHAIZHAIQUAN
2323,003000,ZSFDLHPZHHA,招商丰德灵活配置混合A,混合型,ZHAOSHANGFENGDELINGHUOPEIZHIHUNHEA
2324,003001,ZSFDLHPZHHC,招商丰德灵活配置混合C,混合型,ZHAOSHANGFENGDELINGHUOPEIZHIHUNHEC
2325,003002,GJJDZDZZQ,国金及第中短债债券,债券型,GUOJINJIDIZHONGDUANZHAIZHAIQUAN
2326,003003,HXXJZLHBAE,华夏现金增利货币A/E,货币型,HUAXIAXIANJINZENGLIHUOBIAE
2327,003004,ZSRXDKHH,招商睿祥定开混合,混合型,ZHAOSHANGRUIXIANGDINGKAIHUNHE
2328,003009,ZRYZZDZA,中融盈泽中短债A,债券型,ZHONGRONGYINGZEZHONGDUANZHAIA
2329,003010,ZRYZZDZC,中融盈泽中短债C,债券型,ZHONGRONGYINGZEZHONGDUANZHAIC
2330,003013,ZRHTCZA,中融恒泰纯债A,债券型,ZHONGRONGHENGTAICHUNZHAIA
2331,003014,ZRHTCZC,中融恒泰纯债C,债券型,ZHONGRONGHENGTAICHUNZHAIC
2332,003015,ZJHS300A,中金沪深300A,股票指数,ZHONGJINHUSHEN300A
2333,003016,ZJZZ500A,中金中证500A,股票指数,ZHONGJINZHONGZHENG500A
2334,003017,GFZZJGETFLJA,广发中证军工ETF联接A,联接基金,GUANGFAZHONGZHENGJUNGONGETFLIANJIEA
2335,003022,JXXJTYHBA,建信现金添益货币A,货币型,JIANXINXIANJINTIANYIHUOBIA
2336,003023,BSJFCZZQ,博时景发纯债债券,债券型,BOSHIJINGFACHUNZHAIZHAIQUAN
2337,003024,PAHJDKZA,平安惠金定开债A,定开债券,PINGANHUIJINDINGKAIZHAIA
2338,003025,XHHLHBHH,新华红利回报混合,混合型,XINHUAHONGLIHUIBAOHUNHE
2339,003026,AXXJZHHA,安信新价值混合A,混合型,ANXINXINJIAZHIHUNHEA
2340,003027,AXXJZHHC,安信新价值混合C,混合型,ANXINXINJIAZHIHUNHEC
2341,003028,AXXYXHHA,安信新优选混合A,混合型,ANXINXINYOUXUANHUNHEA
2342,003029,AXXYXHHC,安信新优选混合C,混合型,ANXINXINYOUXUANHUNHEC
2343,003030,AXXMBHHA,安信新目标混合A,混合型,ANXINXINMUBIAOHUNHEA
2344,003031,AXXMBHHC,安信新目标混合C,混合型,ANXINXINMUBIAOHUNHEC
2345,003032,PAYLJKHH,平安医疗健康混合,混合型,PINGANYILIAOJIANKANGHUNHE
2346,003033,NFRGDKHH,南方荣冠定开混合,混合型,NANFANGRONGGUANDINGKAIHUNHE
2347,003034,PAJYXHBA,平安交易型货币A,货币型,PINGANJIAOYIXINGHUOBIA
2348,003037,GFJRZQA,广发集瑞债券A,债券型,GUANGFAJIRUIZHAIQUANA
2349,003038,GFJRZQC,广发集瑞债券C,债券型,GUANGFAJIRUIZHAIQUANC
2350,003039,GFJFCZA,广发集富纯债A,债券型,GUANGFAJIFUCHUNZHAIA
2351,003040,GFJFCZC,广发集富纯债C,债券型,GUANGFAJIFUCHUNZHAIC
2352,003041,XYDLZQ,鑫元得利债券,债券型,XINYUANDELIZHAIQUAN
2353,003042,JYHQTHBA,交银活期通货币A,货币型,JIAOYINHUOQITONGHUOBIA
2354,003043,JYHQTHBE,交银活期通货币E,货币型,JIAOYINHUOQITONGHUOBIE
2355,003044,DFHZLJXHHA,东方红战略精选混合A,混合型,DONGFANGHONGZHANLUEJINGXUANHUNHEA
