,基金号,近1年std,近2年std,近3年std,近1年夏普率,近2年夏普率,近3年夏普率
000575,000575,0.09%,0.11%,0.15%,8.88,10.17,11.25
001734,001734,28.61%,24.19%,23.18%,1.30,1.09,0.57
000826,000826,30.34%,27.16%,25.83%,1.22,1.15,0.68
001364,001364,18.70%,20.21%,22.55%,1.80,0.59,0.06
001489,001489,5.24%,3.98%,5.81%,2.29,1.33,0.46
001173,001173,16.58%,13.06%,11.64%,1.08,0.91,0.40
001523,001523,5.07%,5.91%,5.91%,2.67,2.57,2.57
000298,000298,1.82%,1.50%,1.38%,0.23,1.39,1.39
001870,001870,0.09%,0.10%,0.14%,4.53,6.93,8.18
000762,000762,3.33%,3.39%,4.80%,2.53,2.42,1.75
000332,000332,0.11%,0.12%,0.16%,6.54,8.59,9.80
001935,001935,4.54%,3.65%,3.38%,0.04,-0.23,-0.24
000627,000627,0.11%,0.12%,0.15%,6.72,8.96,9.84
000277,000277,2.07%,1.80%,1.81%,2.24,2.97,2.48
001036,001036,24.77%,24.80%,24.84%,1.99,1.47,0.78
001466,001466,10.61%,9.26%,8.19%,0.53,0.18,-0.26
002026,002026,4.15%,3.24%,3.00%,2.32,2.31,2.07
001827,001827,22.77%,21.58%,20.31%,2.38,1.60,0.93
000735,000735,0.10%,0.10%,0.12%,7.81,9.30,10.10
001574,001574,26.25%,26.28%,26.39%,1.36,1.38,0.76
001124,001124,4.23%,3.40%,3.31%,1.62,1.22,0.78
001061,001061,13.59%,9.82%,8.43%,-0.86,-0.17,-0.08
000220,000220,26.75%,24.28%,24.97%,2.19,1.81,1.35
001348,001348,19.24%,18.15%,19.36%,1.02,0.43,0.06
001718,001718,24.47%,22.60%,21.15%,2.09,1.63,1.01
000559,000559,0.09%,0.10%,0.14%,6.82,8.68,9.41
000109,000109,3.02%,2.77%,2.58%,1.53,1.88,1.60
001562,001562,12.53%,15.46%,--,1.58,1.53,--
000723,000723,5.14%,6.00%,5.92%,0.80,0.54,0.07
001831,001831,--,--,--,--,--,--
000689,000689,22.84%,19.26%,18.10%,1.43,1.07,0.38
000373,000373,21.37%,23.01%,22.85%,1.99,0.98,0.69
001974,001974,20.83%,20.29%,20.06%,1.72,1.21,0.77
000236,000236,4.15%,4.74%,5.17%,1.80,1.18,0.69
001077,001077,0.08%,0.10%,0.14%,9.08,9.69,10.32
001427,001427,3.76%,6.47%,6.90%,2.72,1.44,0.69
000324,000324,0.09%,0.10%,0.16%,3.91,5.54,7.01
001866,001866,14.86%,12.50%,12.45%,2.28,1.48,0.71
001535,001535,17.25%,18.45%,20.01%,1.54,1.11,0.33
001165,001165,2.69%,2.33%,2.13%,2.20,1.74,1.41
001470,001470,4.18%,3.78%,3.59%,3.17,2.76,2.27
001889,001889,1.34%,1.25%,1.22%,1.10,2.91,3.04
001309,001309,5.17%,5.76%,6.56%,2.71,2.10,1.48
001759,001759,23.47%,22.72%,23.73%,1.75,1.18,0.57
000148,000148,2.19%,1.82%,2.00%,0.48,1.79,1.99
002030,002030,5.00%,10.90%,13.34%,3.26,0.68,0.25
001391,001391,0.10%,0.10%,0.16%,6.20,8.94,9.59
000979,000979,16.57%,14.81%,16.43%,1.50,1.25,0.69
000580,000580,0.10%,0.13%,0.16%,6.64,7.10,8.62
000996,000996,22.80%,21.67%,22.55%,2.39,1.81,0.61
000646,000646,15.82%,18.14%,20.07%,1.07,0.49,0.20
000216,000216,16.77%,13.92%,12.07%,0.93,1.47,0.94
001057,001057,0.10%,0.12%,0.17%,8.62,9.64,10.20
001407,001407,3.36%,2.82%,2.39%,2.65,2.37,2.09
001112,001112,19.76%,20.81%,21.15%,1.57,1.19,0.83
001542,001542,29.18%,26.93%,26.52%,1.86,1.31,0.72
001811,001811,23.14%,22.83%,22.85%,1.68,1.54,0.97
000187,000187,2.56%,2.11%,2.07%,0.94,1.43,1.99
002010,002010,3.04%,2.61%,2.51%,2.95,3.11,2.56
000884,000884,21.78%,21.49%,21.28%,2.52,1.57,1.16
001796,001796,16.00%,12.71%,11.28%,1.74,1.57,1.29
001329,001329,5.46%,4.42%,3.99%,2.62,1.64,1.34
001283,001283,10.76%,12.69%,12.96%,2.38,1.27,0.67
001779,001779,6.93%,5.05%,4.74%,1.55,1.09,0.46
000538,000538,8.60%,6.87%,6.58%,1.66,1.03,0.49
001000,001000,30.53%,28.04%,27.09%,1.89,1.44,0.66
000241,000241,26.97%,27.22%,26.77%,1.93,1.61,0.80
001903,001903,5.23%,3.92%,4.06%,2.84,2.31,1.71
000754,000754,2.52%,3.88%,3.46%,3.11,1.43,1.08
001515,001515,25.01%,23.87%,23.28%,2.21,1.38,0.61
001780,001780,26.80%,22.70%,21.00%,1.70,1.42,0.69
000892,000892,14.07%,13.02%,13.45%,0.57,0.47,0.10
002006,002006,4.58%,4.60%,5.12%,2.72,2.24,1.58
000191,000191,1.61%,1.36%,1.32%,1.27,2.64,2.78
000484,000484,0.11%,0.13%,0.16%,5.56,6.97,8.71
001915,001915,25.15%,25.58%,27.35%,2.63,1.83,1.17
000607,000607,0.09%,0.11%,0.16%,6.17,7.68,9.07
001016,001016,20.43%,20.18%,19.68%,1.29,0.97,0.52
001446,001446,3.95%,6.53%,6.99%,2.52,1.37,0.63
001153,001153,--,--,--,--,--,--
001503,001503,4.56%,3.83%,3.39%,2.98,2.55,2.08
001850,001850,6.84%,6.60%,6.36%,2.64,1.95,1.35
000742,000742,29.46%,26.62%,26.08%,1.79,1.29,0.68
000312,000312,20.25%,20.19%,19.98%,1.67,1.20,0.72
002051,002051,5.05%,4.70%,4.43%,-0.31,0.20,0.06
000596,000596,30.87%,28.31%,27.55%,1.40,0.93,0.32
001387,001387,23.17%,20.66%,20.72%,2.84,2.02,1.20
001692,001692,21.70%,21.58%,21.38%,2.44,1.90,1.10
000980,000980,0.09%,0.11%,0.13%,8.99,9.87,10.99
001368,001368,--,--,--,--,--,--
001738,001738,17.30%,16.58%,--,0.86,0.61,--
000083,000083,22.80%,21.56%,22.74%,2.21,1.96,1.40
000579,000579,13.62%,10.84%,9.31%,0.25,0.31,-0.05
000129,000129,0.53%,0.44%,0.48%,2.88,3.90,4.48
001411,001411,5.19%,4.80%,4.47%,-0.28,0.22,0.08
001041,001041,0.17%,0.16%,0.20%,3.91,6.63,8.15
000200,000200,1.60%,1.61%,1.62%,2.52,3.03,2.25
001942,001942,20.97%,22.31%,18.31%,1.24,1.10,0.87
000650,000650,0.10%,0.11%,0.14%,7.61,9.39,10.65
000345,000345,1.86%,1.99%,1.94%,3.51,5.14,5.05
001807,001807,3.39%,3.62%,3.80%,3.18,2.40,1.05
000715,000715,19.48%,13.92%,11.37%,-0.95,-0.60,-0.40
